"Sınıf","tweet"
"yangın","Manavgat’tan yardım çağrısı:  Gıda, içecek, buz yardımlarınızı Manavgat Belediyesi’nin Atatürk Kültür Merkezi’nde oluşturduğu “Yangın Dayanışma Merkezi”ne ulaştırabilirsiniz."
"yangın","Trabzon'da orman yangını çıktı!"
"yangın","Trabzon'da orman yangını... İtfaiye erleri dumandan etkilendi!"
"yangın","Trabzon'da orman yangını çıktı!"
"yangın","17 EV TAHLİYE EDİLDİ Trabzon'un birçok noktasında orman yangını"
"yangın","Trabzon’da orman yangını"
"yangın","Avustralya'nın Perth'in Wanneroo bölgesi yanıyor.. (Orman yangını)"
"yangın","Trabzon'da orman yangını... 17 ev boşaltıldı!"
"yangın","Trabzon'da orman yangını çıktı! Sürmene ilçesinde 17 ev tedbir amaçlı tahliye edilirken, alevlere müdahale eden 2 itfaiye personeli dumandan etkilendi."
"yangın","#orman #yangını 19.25 Tirebolu Yılgın köyü Hıdırellez mevkiinde orman yangını olduğu, bir saattir devam ettiği bildirildi."
"yangın","Trabzon’da orman yangını kontrol altına alındı! 3 itfaiye eri hastaneye kaldırıldı"
"yangın","ABD Kuzey Karolina eyalet sınırında orman yangını."
"yangın","Trabzon'da pek çok ilçede fırtınanın etkisiyle orman yangını çıktı"
"yangın","Evlerin boşaltıldığı orman yangını... Trabzon'da çıkan orman yangını kısa sürede büyüdü"
"yangın","Trabzon'da orman yangını; 2 itfaiye eri dumandan etkilendi"
"yangın","Rize'de fırtınanın devirdiği elektrik direkleri yangına neden oldu"
"yangın","Trabzon'da orman yangını sürüyor: 17 ev tedbir amaçlı boşaltıldı"
"yangın","#SONDAKİKA Sürmene Çamburnu Yeniay'da orman yangını İsminaz Kanca yurdundan görüntülendi."
"yangın","Trabzon'un Sürmene ilçesindeki yangın kontrol altına alındı"
"yangın","Trabzon'nun birçok noktasında orman yangını başladı."
"yangın","Trabzon'da 5 ilçede orman yangını! Evler boşaltıldı, itfaiye erleri dumandan etkilendi"
"yangın","Avustralya'nın Perth ilinde orman yangını sürüyor."
"yangın","Gece saatlerinde Mersin Anamur Tekmen civarında orman yangını"
"yangın","Trabzon’da orman yangını: Kentte etkili olan fırtına sonrası akşam saatlerinde Sürmene ilçesindeki Baştımar Mahallesi’ndeki ormanlık alanda henüz bilinmeyen nedenle yangın çıktı. Rüzgarın etkisi ile büyüyen yangında alevler ormanlık alanı kapladı.…"
"yangın","Avustralya'da orman yangını durdurulamıyor, evler kül oldu"
"yangın","İzmir’de Orman Yangını"
"yangın","Trabzon'da orman yangını nedeniyle 17 ev boşaltıldı Trabzon'un Sürmene ilçesinde ormanda yangın çıktı. Rüzgarın etkisiyle büyüyen yangına müdahale eden 2 itfaiye eri dumandan etkilenirken 17 ev de tedbir amaçlı boşaltıldı."
"yangın","Trabzon Sürmene’de orman yangını! 2 kişi hastaneye kaldırıldı"
"yangın","7 Saatlik Anız Yangını Korkuttu! Çamaş İlçesi Giden Mahallesi’nde yakılan anız ateşi fırtına nedeniyle çevreye sıçradı. Yangın nedeniyle olay yerine itfaiye ekipleri ve Orman Genel Müdürlüğü ekipleri sevk edildi. 7 Saat süren çalışma sonucu yangın kontrol altına alındı."
"yangın","Avustralya'nın Perth Wanneroo bölgesinde büyük bir orman yangını"
"yangın","Kışın ortasında orman yangını"
"yangın","Trabzon'da şiddetli rüzgarın ardından bazı ilçelerde ormanlık alanlarda yangın yayılmaya başladı."
"yangın","İlçeye bağlı Yeniay Mahallesi'nde henüz belirlenemeyen nedenle başlayan örtü yangını için Trabzon'un ilçelerinin yanı sıra Rize'den itfaiye ekipleri sevk edildi.Ekiplerin bulunduğu alana gelerek bilgi alan Trabzon Valisi Aziz Yıldırım, gazete..."
"yangın","Trabzon'da şiddetli rüzgar ve fırtına orman yangınlarını körükledi, yağmur kontrol altına aldı"
"yangın","Son Dakika: Antalya'nın Alanya ilçesinde orman yangını çıktı."
"yangın","Antalya, Kemer Göynük'teki orman yangını rüzgarla birlikte hızla yayılıyor. Benzin istasyonları çevresinde özel önlemler alınıyor... #Antalya #Kemer #Göynük"
"yangın","Antalya'nın Aksu ve Demre ilçelerinde orman yangını başladı."
