"Sınıf","Tweet"
"malzeme-yiyecek","Manavgat’tan yardım çağrısı: Gıda, içecek, buz yardımlarınızı Manavgat Belediyesi’nin Atatürk Kültür Merkezi’nde oluşturduğu “Yangın Dayanışma Merkezi”ne ulaştırabilirsiniz."
"malzeme-yiyecek","Trabzon'da orman yangını çıktı!.Yangından dolayı zor durumdayım, gıda ve temel ihtiyaç malzemelerine ihtiyacım var."
"malzeme-yiyecek","Trabzon'da orman yangını... İtfaiye erleri dumandan etkilendi!.gıda ve suya ihtiyacımız var."
"malzeme-yiyecek","Trabzon'da orman yangını çıktı!.Ailem ve ben yangından etkilendik, battaniye, gıda ve suya ihtiyacımız var."
"malzeme-yiyecek","Ne olur yardım edin Marmaris hala yanıyor. Yangına dayanıklı ayakkabı elbise gönderin. Gıdaya ihtiyacımız yok."
"malzeme-yiyecek","Trabzon’da orman yangını.Çok sayıda içme suyu ve yiyecek ihtiycımız var"
"malzeme-yiyecek","Avustralya'nın Perth'in Wanneroo bölgesi yanıyor.. (Orman yangını).Orman yangınından zarar gören bölge halkına tıbbi malzeme ve içme suyu yardımı ulaştırılmalı."
"malzeme-yiyecek","Trabzon'da orman yangını... 17 ev boşaltıldı! temel gıda ve battaniye yardımına ihtiyaç var"
"malzeme-yiyecek","Trabzon'da orman yangını çıktı! Sürmene ilçesinde 17 ev tedbir amaçlı tahliye edilirken, alevlere müdahale eden 2 itfaiye personeli dumandan etkilendi.Yangından etkilenen bölge halkına su, yiyecek ve temel ihtiyaç malzemesi yardımı yapılması gerekiyor."
"malzeme-yiyecek","Trabzon'da orman yangını sürüyor: 17 ev tedbir amaçlı boşaltıldı. Bölge halkına su, yiyecek ve temel ihtiyaç malzemesi yardımı acilen ulaştırılmalıdır."
"malzeme-yiyecek","Trabzon'da 5 ilçede orman yangını! Evler boşaltıldı, itfaiye erleri dumandan etkilendi.Evleri yanan köylüler, acil olarak battaniye, giysi ve gıda yardımı bekliyor"
"malzeme-yiyecek","Antalya'nın Alanya ilçesinde bugün öğle saatlerinde çıkan orman yangını sebebiyle oluşmuştur. Bölgedeki 5 ev tahliye edildi. Çalışmalar sürüyor.Bölgedeki halka temel gıda ve malzeme yardımı gönderilmeli."
"malzeme-yiyecek","Yarın gece Ankara'dan manavgat'a doğru yardım götürmek üzere yola çıkıyoruz. Sıfır çamaşır, gıda, mutfak malzemesi ihtiyaçları var. Yardım etmek isteyenler ulaşabilirler"
"malzeme-yiyecek","Dikkat bodrum yangın ekibinin yardım isteğidir. A 51 numaralı orman arazözünün hortup ucundaki ekip bildiriyor.. Ayran ve su ulaştırın diyor. Dikkat eğitimsiz kimse gelmesin diyor. Bakın yangın eğitiminiz yoksa gitmeyin. Dikkat.!!!!! #bodrumyangın #YARDIM #PrayForTurkey"
"malzeme-yiyecek","Orman yangınlarının olduğu şehirlerde Yangın yardım çadırlarına ihtiyaç olan malzemeleri bırakalım lütfen."
"malzeme-yiyecek","Çanakkale / Sarıceli köyü yeni görüntüler rüzgarın şiddetini tekrar artırması ile yangın çok hızlı ilerlemeye başladı...  köylüler can telaşında maalesef...Köylülere temel gıda ve battaniye,mont, kazak yardımı yapılmalı."
"malzeme-yiyecek","Marmaris’te orman yangını başladı..angın bölgesinde yaşayan hayvanlar için mama ve su temin edildi"
"malzeme-yiyecek","Menderes-Oğlananası'nda orman yangını hızla büyüdü. #izmir Afetzedelere destek olmak amacıyla, komşu köylerden gıda ve temel ihtiyaç malzemeleri toplandı."
"malzeme-yiyecek","#SonDakika İzmir'in Gaziemir ilçesinde orman yangını çıktı. #izmir #orman #yangın Gönüllü ekipler, yangın bölgesine battaniye, giysi ve yiyecek yardımı götürdü."
"malzeme-yiyecek","#İzmir #Menemen’de orman #yangını! Yangın bölgesinde mahsur kaldım, yiyecek ve içme suyu yardımı rica ediyorum."
"malzeme-yiyecek","İzmir'de orman yangını.Gönüllü ekipler, yangın bölgesine battaniye, giysi ve yiyecek yardımı götürdü"
"malzeme-yiyecek","İzmir'de orman yangını! http://sonkaleizmir.com/haber/Izmir-de-orman-yangini/140360… #SonDakika #SONDAKİKA #izmir Orman yangınında zarar gören bölgelere acil olarak su, gıda ve tıbbi malzeme yardımı ulaştırıldı."
"malzeme-yiyecek","İzmir'de orman yangını! Müdahale sürüyor https://bitly.ws/UnL4 #izmir #yangın #sondakika Yangından etkilenen ailelere konserve yiyecekler ve temiz içme suyu dağıtımı yapıldı."
"malzeme-yiyecek","İzmir'de iki ayrı noktada orman yangını: Mahalleler boşaltıldı, yol kapatıldı #izmir #yangın Yangın söndürme çalışmalarına katılan itfaiyecilere enerji verici atıştırmalıklar ve içecekler dağıtıldı"
"malzeme-yiyecek","Adana’da orman yangını! Orman yangınında zarar gören bölgelere acil olarak su, gıda ve tıbbi malzeme yardımı ulaştırıldı"
"malzeme-yiyecek","Adana'da orman yangını çıktı.Yangın bölgesinde yaşayan hayvanlar için mama ve su temin edildi"
"malzeme-yiyecek","Şebinkarahisar'da Elektrikli Battaniyeden #Yangın Çıktı Yaşlı Kadın Son Anda Kurtuldu #Giresun'un #Şebinkarahisar ilçesine bağlı Balcana Köyünde dün gece saatlerinde 2 katlı ahşap evde çıkan yangında 1 kişi son anda kurtulurken, ev kullanılamaz hale geldi. Gönüllü ekipler, yangın bölgesine battaniye, giysi ve yiyecek yardımı götürdü."
"malzeme-yiyecek","#Çeşme #Kuşadası çok büyük bir yangın ile karşı karşıya, köyler ilçeler, gece yarısı hepsi ayakta. Allah yardımcıları olsun.Orman yangınında zarar gören bölgelere acil olarak su, gıda ve tıbbi malzeme yardımı ulaştırıldı"
"malzeme-yiyecek","Fazla su tankeri olan var mı ? Lütfen verir misiniz ? Yangın çıktı da :)))"
"malzeme-yiyecek","Ciğerlerimiz yanıyor. Onbinlerce canlı yok oluyor. #cesme #datça #ovacık Yangın bölgesinde yaşayan hayvanlar için mama ve su temin edildi"
"malzeme-yiyecek","#Çeşme #Kuşadası çok büyük bir yangın ile karşı karşıya, köyler ilçeler, gece yarısı hepsi ayakta. Allah yardımcıları olsun Görüntüler çok kötü Allah Yardımcıları Olsun Yangın sebebiyle temel ihtiyaçlarımızı karşılayamıyoruz, lütfen bize yiyecek ve malzeme yardımı yapabilir misiniz?"""
"malzeme-yiyecek","#Çeşme'ye girişler kapatıldı. Araçlarıyla giriş yapmak isteyenlerin dikkatine! Son Dakika: İzmir, Çeşme'de orman yangını çıktı. Rüzgar önümüzdeki saatlerde kuvvetlenecek. Çok geçmiş olsun İzmir! Orman yangınında zarar gören bölgelere acil olarak su, gıda ve tıbbi malzeme yardımı ulaştırıldı"
"malzeme-yiyecek","Köylerini tahliye etmek zorunda kalanlar Ovabükü sahilinden aktarıyor. Kuvvetli rüzgarın da etkisiyle yangın geniş bir alana yayıldı. Karadan müdahale oldukça kısıtlı yapılabiliyor. Endişeliyiz, umarız yangın daha fazla büyümeden kontrol altına alınır.. #Datça #Çeşme #Yangın Yangından etkilenen ailelere konserve yiyecekler ve temiz içme suyu dağıtımı yapıldı"
"malzeme-yiyecek","Çeşme yanıyor İzmir, Çeşme’de orman yangınında 3 vatandaşımız hayatını kaybetti. #Çeşme #İzmir #Yangın Orman yangınında zarar gören bölgelere acil olarak su, gıda ve tıbbi malzeme yardımı ulaştırılmalı"
"malzeme-yiyecek","Gece boyunca yangınla mücadele eden ekiplere, mobil ikram araçlarımızdan beslenme desteği sağladık. #Çeşme"
"malzeme-yiyecek","Yangınlara sebep olanlar, insanların, ordaki hayvanların, bütün ağaçların ahı tek tek çıksın sizden. #Yangın #Kuşadası #Çeşme Yangın bölgesinde yaşayan hayvanlar için mama ve su temin edilmesi gerekiyor"
